Equipment/&CEHalberdTypeTitle	Hallebardes
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Cuir clouté de danse des flammes
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Cuir clouté de givre marchant
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Cuir clouté de robustesse
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Cuir clouté de robustesse
Equipment/&Enchanted_StuddedLeather_Survival_Description	Cette armure enchantée a été créée en utilisant les anciennes connaissances des maîtres armuriers de Manacalon. Ildurial Stronghand a forgé la première de ces armures pour la garde personnelle de l'Empereur.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Cuir de survie clouté
Equipment/&Enchanted_Warhammer_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Marteau de guerre d'acuité
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Les pointes acérées de la griffe de l'ours déchiquettent l'armure pour infliger des dégâts supplémentaires. La première arme de ce type a été conçue par Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Marteau de guerre griffe d'ours
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Colthannin. Il a été conçu par Elgador Keenspirit, Magesmith of the Arcaneum pour soutenir le combat contre les créatures mort-vivantes.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Marteau de guerre porteur de lumière
Equipment/&Enchanted_Warhammer_Power_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Certaines créatures ne respectent que les forces physiques. Les arcanistes de Manacalon ont créé ce marteau de guerre pour donner aux champions des Légions de Fer la force que leur corps elfique n'offrait pas.
Equipment/&Enchanted_Warhammer_Power_Title	Marteau de guerre de puissance
Equipment/&Enchanted_Warhammer_Punisher_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. La combinaison du meilleur métal et de Slavestone a donné à cette hache un pouvoir de perçage incroyable.
Equipment/&Enchanted_Warhammer_Punisher_Title	Marteau de guerre punisseur
Equipment/&ImprovedThunderPunchDescription	Inflige 1d8 dégâts de tonnerre en cas de coup et inflige un désavantage aux jets d'attaque contre les alliés.\nAttire les ennemis jusqu'à 9 mètres avec une action bonus, puis inflige 1d8 dégâts de tonnerre.
Equipment/&ImprovedThunderPunchTitle	Coup de tonnerre amélioré
Equipment/&LivewoodClubDescription	Ce club est composé de bois vivant avec des feuilles qui poussent et peut-être des fleurs saisonnières. Il peut être utilisé comme focus pour lancer des sorts druidiques.
Equipment/&LivewoodClubTitle	Livewood Club
Equipment/&LivewoodStaffDescription	Ce bâton est composé de bois vivant avec des feuilles qui poussent et peut-être des fleurs saisonnières. Il peut être utilisé comme focus pour lancer des sorts druidiques.
Equipment/&LivewoodStaffTitle	Bâton de bois vivant
Equipment/&ThunderPunchDescription	Inflige 1d8 dégâts de tonnerre en cas de coup et inflige un désavantage aux jets d'attaque contre les alliés.
Equipment/&ThunderPunchTitle	Coup de tonnerre
Equipment/&WandIdentifyDescription	Lance le sort Identification en dépensant une charge. La baguette a 3 charges et récupère 1d3 charges à chaque aube.
Equipment/&WandIdentifyTitle	Baguette d'identification
Feat/&FeatPolearmExpertDescription	Votre formation d'expert avec les armes d'hast vous offre ces avantages :\n• Lorsque vous effectuez l'action Attaquer et que vous attaquez uniquement avec une arme d'hast, vous pouvez utiliser une action bonus pour effectuer une attaque au corps à corps avec l'extrémité opposée de l'arme. Cette attaque utilise le même modificateur de capacité que l'attaque principale. Le dé de dégâts de l'arme pour cette attaque est un d4, et il inflige des dégâts contondants.\n• Pendant que vous maniez une arme d'hast, d'autres créatures provoquent une attaque d'opportunité de votre part lorsqu'elles entrent dans la portée que vous avez avec cette arme.
Feat/&FeatPolearmExpertTitle	Expert en armes d'hast
Item/&CEHalberd+1Title	Hallebarde +1
Item/&CEHalberd+1UnidentifiedTitle	Hallebarde de qualité
Item/&CEHalberd+2Title	Hallebarde +2
Item/&CEHalberd+2UnidentifiedTitle	Hallebarde magnifique
Item/&CEHalberdLightningTitle	Hallebarde de foudre
Item/&CEHalberdLightningUnidentifiedTitle	Hallebarde magnifique
Item/&CEHalberdPrimedTitle	Hallebarde apprêtée
Item/&CEHalberdTitle	Hallebarde
Item/&CEHandXbow+1Title	Arbalète de poing +1
Item/&CEHandXbow+1UnidentifiedTitle	Arbalète à main de qualité
Item/&CEHandXbow+2Title	Arbalète de poing +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnifique arbalète à main
Item/&CEHandXbowAcidTitle	Arbalète à main acide
Item/&CEHandXbowAcidUnidentifiedTitle	Magnifique arbalète à main
Item/&CEHandXbowPrimedTitle	Arbalète à main apprêtée
Item/&CEHandXbowTitle	Arbalète à main
Item/&CELongMace+1Title	Masse longue +1
Item/&CELongMace+1UnidentifiedTitle	Masse longue de qualité
Item/&CELongMace+2Title	Masse longue +2
Item/&CELongMace+2UnidentifiedTitle	Masse longue magnifique
Item/&CELongMacePrimedTitle	Masse longue apprêtée
Item/&CELongMaceThunderTitle	Masse longue fulgurante
Item/&CELongMaceThunderUnidentifiedTitle	Masse longue magnifique
Item/&CELongMaceTitle	Masse longue
Item/&CEPike+1Title	Brochet +1
Item/&CEPike+1UnidentifiedTitle	Brochet de qualité
Item/&CEPike+2Title	Brochet +2
Item/&CEPike+2UnidentifiedTitle	Magnifique brochet
Item/&CEPikePrimedTitle	Brochet apprêté
Item/&CEPikePsychicTitle	Pique psychique
Item/&CEPikePsychicUnidentifiedTitle	Magnifique brochet
Item/&CEPikeTitle	Brochet
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Enchantement hallebarde +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Enchantement hallebarde +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Enchantement de hallebarde de foudre
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Enchantement d'arbalète de poing +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Enchantement d'arbalète de poing +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Enchantement d'arbalète à main acide
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Enchantement longue masse +1
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Enchantement longue masse +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Enchantement de longue masse fulminante
Item/&CraftingManualRecipeEnchantCEPike+1Title	Enchantement de brochet +1
Item/&CraftingManualRecipeEnchantCEPike+2Title	Enchantement de brochet +2
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Enchantement Hallebarde +1.
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Enchantement Hallebarde +2.
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Enchante Hallebarde de foudre.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Enchantement d'arbalète de poing +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Enchantement d'arbalète de poing +2.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Enchantement d'arbalète à main acide.
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Enchantement longue masse +1.
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Enchantement longue masse +2.
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Enchantez la longue masse fulminante.
Item/&CraftingManualRecipeEnchantCEPike+1Description	Enchantement de brochet +1.
Item/&CraftingManualRecipeEnchantCEPike+2Description	Enchantement de brochet +2.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Enchantement de pique psychique
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Enchantez Pychic Pike.
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Enchantement de bandages +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Enchantement de bandages +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Enchantement de bandages +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Enchantement de bandages +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Enchantez des Protège-mains puissants.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Enchantement de bandages puissants
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Enchantez des bandes de tirage.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Enchantement de bandages de traction
Item/&CraftingManualRecipePrimingCEHalberdTitle	Première hallebarde
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Arbalète de premier ordre
Item/&CraftingManualRecipePrimingCELongMaceTitle	Première longue masse
Item/&CraftingManualRecipePrimingCEPikeTitle	Premier brochet
Item/&CraftingManualRecipePrimingCEHalberdDescription	Première Hallebarde.
Item/&CraftingManualRecipePrimingCEHandXbowDescription	Arbalète de première main.
Item/&CraftingManualRecipePrimingCELongMaceDescription	Prime Long Mace.
Item/&CraftingManualRecipePrimingCEPikeDescription	Premier brochet.
Item/&Handwraps+1Title	Protège-mains +1
Item/&Handwraps+1UnidentifiedTitle	Bandages de bonne qualité
Item/&Handwraps+2Title	Protège-mains +2
Item/&Handwraps+2UnidentifiedTitle	Protège-mains magnifiques
Item/&HandwrapsOfForceTitle	Protège-mains puissants
Item/&HandwrapsOfForceUnidentifiedTitle	Protège-mains magnifiques
Item/&HandwrapsOfPullingTitle	Protège-mains de tirage
Item/&HandwrapsOfPullingUnidentifiedTitle	Protège-mains magnifiques
Power/&PowerFunctionHandwrapsOfPullingDescription	Par une action bonus, vous pouvez attirer une créature dans un rayon de 4,50 mètres vers vous.
Power/&PowerFunctionHandwrapsOfPullingTitle	Ramener
Tooltip/&TagPolearmWeaponTitle	Arme d'hast
