Equipment/&CEHalberdTypeTitle	Alabarde
Equipment/&Enchanted_Spear_Whiteburn_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Whiteburn è stato creato dal primo Danantar per combattere un'invasione di troll proveniente dalle paludi a sud del suo dominio tra i Sioltafin e gli Scarafin.
Equipment/&Enchanted_Spear_Whiteburn_Title	Lancia di Whiteburn
Equipment/&Enchanted_StuddedLeather_Deflection_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Deflection_Title	Pelle di deflessione borchiata
Equipment/&Enchanted_StuddedLeather_FlameDancing_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_FlameDancing_Title	Pelle borchiata di Flame Dancing
Equipment/&Enchanted_StuddedLeather_FrostWalking_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_FrostWalking_Title	Pelle Borchiata di Frost Walking
Equipment/&Enchanted_StuddedLeather_Robustness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Robustness_Title	Pelle Borchiata di Robustezza
Equipment/&Enchanted_StuddedLeather_Sturdiness_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Sturdiness_Title	Pelle borchiata di robustezza
Equipment/&Enchanted_StuddedLeather_Survival_Description	Questa armatura incantata è stata creata utilizzando l'antica conoscenza dei maestri armieri di Manacalon. Ildurial Stronghand forgiò la prima di quelle armature per la guardia personale dell'Imperatore.
Equipment/&Enchanted_StuddedLeather_Survival_Title	Pelle di sopravvivenza con borchie
Equipment/&Enchanted_Warhammer_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Warhammer_Acuteness_Title	Warhammer dell'Acutezza
Equipment/&Enchanted_Warhammer_Bearclaw_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Le punte aguzze dell'artiglio dell'orso distruggono l'armatura per infliggere danni aggiuntivi. La prima arma di questo tipo è stata progettata da Ildurial Stronghand.
Equipment/&Enchanted_Warhammer_Bearclaw_Title	Martello da guerra artiglio d'orso
Equipment/&Enchanted_Warhammer_Lightbringer_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Colthannin. È stato progettato da Elgador Keenspirit, Magesmith dell'Arcaneum per supportare il combattimento contro le creature non morte.
Equipment/&Enchanted_Warhammer_Lightbringer_Title	Warhammer Portatore di Luce
Equipment/&Enchanted_Warhammer_Power_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Alcune creature rispettano solo le forze fisiche. Gli arcanisti di Manacalon hanno creato questo Warhammer per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non fornivano.
Equipment/&Enchanted_Warhammer_Power_Title	Warhammer del potere
Equipment/&Enchanted_Warhammer_Punisher_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. La combinazione del miglior metallo e Slavestone ha conferito a questa ascia un incredibile potere perforante.
Equipment/&Enchanted_Warhammer_Punisher_Title	Punitore Warhammer
Equipment/&ImprovedThunderPunchDescription	Infligge 1d8 danni da tuono al colpo e infligge svantaggio ai tiri per colpire contro gli alleati.\nTira i nemici fino a 9 metri con un'azione bonus, quindi infliggi 1d8 danni da tuono.
Equipment/&ImprovedThunderPunchTitle	Pugno tuono migliorato
Equipment/&LivewoodClubDescription	Questo club è composto da legno vivo completo di foglie che germogliano e forse fioriture stagionali. Può essere usato come punto focale per lanciare incantesimi druidici.
Equipment/&LivewoodClubTitle	Livewood Club
Equipment/&LivewoodStaffDescription	Questo bastone è composto da legno vivo completo di foglie che germogliano e forse fioriture stagionali. Può essere usato come punto focale per lanciare incantesimi druidici.
Equipment/&LivewoodStaffTitle	Personale di Livewood
Equipment/&ThunderPunchDescription	Infligge 1d8 danni da tuono al colpo e infligge svantaggio ai tiri per colpire contro gli alleati.
Equipment/&ThunderPunchTitle	Pugno di tuono
Equipment/&WandIdentifyDescription	Lancia l'incantesimo Identifica spendendo una carica. La bacchetta ha 3 cariche e recupera 1d3 cariche ogni alba.
Equipment/&WandIdentifyTitle	Bacchetta di identificazione
Feat/&FeatPolearmExpertDescription	Il tuo addestramento esperto con le armi in asta ti garantisce questi vantaggi:\n• Quando si esegue l'azione Attacco e si attacca solo con un'arma ad asta, è possibile utilizzare un'azione bonus per effettuare un attacco in mischia con l'estremità opposta dell'arma. Questo attacco usa lo stesso modificatore di abilità dell'attacco primario. Il dado di danno dell'arma per questo attacco è un d4 e infligge danni contundenti.\n• Mentre impugnate un'arma con un'arma ad asta, altre creature provocano un attacco di opportunità da parte vostra quando entrano nel raggio d'azione che avete con quell'arma.
Feat/&FeatPolearmExpertTitle	Esperto di armi da fuoco
Item/&CEHalberd+1Title	Alabarda +1
Item/&CEHalberd+1UnidentifiedTitle	Alabarda di qualità
Item/&CEHalberd+2Title	Alabarda +2
Item/&CEHalberd+2UnidentifiedTitle	Magnifica alabarda
Item/&CEHalberdLightningTitle	Alabarda Fulmine
Item/&CEHalberdLightningUnidentifiedTitle	Magnifica alabarda
Item/&CEHalberdPrimedTitle	Alabarda innescata
Item/&CEHalberdTitle	Alabarda
Item/&CEHandXbow+1Title	Balestra a mano +1
Item/&CEHandXbow+1UnidentifiedTitle	Balestra a mano di qualità
Item/&CEHandXbow+2Title	Balestra a mano +2
Item/&CEHandXbow+2UnidentifiedTitle	Magnifica balestra a mano
Item/&CEHandXbowAcidTitle	Balestra a mano acida
Item/&CEHandXbowAcidUnidentifiedTitle	Magnifica balestra a mano
Item/&CEHandXbowPrimedTitle	Balestra a mano innescata
Item/&CEHandXbowTitle	Balestra a mano
Item/&CELongMace+1Title	Mazza lunga +1
Item/&CELongMace+1UnidentifiedTitle	Mazza lunga di qualità
Item/&CELongMace+2Title	Mazza lunga +2
Item/&CELongMace+2UnidentifiedTitle	Magnifica mazza lunga
Item/&CELongMacePrimedTitle	Mazza lunga innescata
Item/&CELongMaceThunderTitle	Mazza Lunga Tonante
Item/&CELongMaceThunderUnidentifiedTitle	Magnifica mazza lunga
Item/&CELongMaceTitle	Mazza lunga
Item/&CEPike+1Title	Luccio +1
Item/&CEPike+1UnidentifiedTitle	Luccio di qualità
Item/&CEPike+2Title	Luccio +2
Item/&CEPike+2UnidentifiedTitle	Magnifico luccio
Item/&CEPikePrimedTitle	Luccio innescato
Item/&CEPikePsychicTitle	Luccio psichico
Item/&CEPikePsychicUnidentifiedTitle	Magnifico luccio
Item/&CEPikeTitle	Luccio
Item/&CraftingManualRecipeEnchantCEHalberd+1Description	Incanta Alabarda +1.
Item/&CraftingManualRecipeEnchantCEHalberd+1Title	Incanta Alabarda +1
Item/&CraftingManualRecipeEnchantCEHalberd+2Description	Incanta Alabarda +2.
Item/&CraftingManualRecipeEnchantCEHalberd+2Title	Incanta Alabarda +2
Item/&CraftingManualRecipeEnchantCEHalberdLightningDescription	Incanta l'alabarda del fulmine.
Item/&CraftingManualRecipeEnchantCEHalberdLightningTitle	Incanta l'alabarda del fulmine
Item/&CraftingManualRecipeEnchantCEHandXbow+1Description	Incanta balestra a mano +1.
Item/&CraftingManualRecipeEnchantCEHandXbow+1Title	Incanta balestra a mano +1
Item/&CraftingManualRecipeEnchantCEHandXbow+2Description	Incanta balestra a mano +2.
Item/&CraftingManualRecipeEnchantCEHandXbow+2Title	Incanta balestra a mano +2
Item/&CraftingManualRecipeEnchantCEHandXbowAcidDescription	Incanta la balestra a mano acida.
Item/&CraftingManualRecipeEnchantCEHandXbowAcidTitle	Incanta la balestra a mano acida
Item/&CraftingManualRecipeEnchantCELongMace+1Description	Incanta Mazza Lunga +1.
Item/&CraftingManualRecipeEnchantCELongMace+1Title	Incanta Mazza Lunga +1
Item/&CraftingManualRecipeEnchantCELongMace+2Description	Incanta Mazza Lunga +2.
Item/&CraftingManualRecipeEnchantCELongMace+2Title	Incanta Mazza Lunga +2
Item/&CraftingManualRecipeEnchantCELongMaceThunderDescription	Incanta la Mazza Lunga Tonante.
Item/&CraftingManualRecipeEnchantCELongMaceThunderTitle	Incanta la Mazza Lunga Tonante
Item/&CraftingManualRecipeEnchantCEPike+1Description	Incanta Picca +1.
Item/&CraftingManualRecipeEnchantCEPike+1Title	Incanta Picca +1
Item/&CraftingManualRecipeEnchantCEPike+2Description	Incanta Picca +2.
Item/&CraftingManualRecipeEnchantCEPike+2Title	Incanta Picca +2
Item/&CraftingManualRecipeEnchantCEPikePsychicDescription	Incanta luccio psichico.
Item/&CraftingManualRecipeEnchantCEPikePsychicTitle	Incanta luccio psichico
Item/&CraftingManualRecipeEnchantHandwraps+1Description	Incanta Fasce +1.
Item/&CraftingManualRecipeEnchantHandwraps+1Title	Incanta Fasce +1
Item/&CraftingManualRecipeEnchantHandwraps+2Description	Incanta Fasce +2.
Item/&CraftingManualRecipeEnchantHandwraps+2Title	Incanta Fasce +2
Item/&CraftingManualRecipeEnchantHandwrapsOfForceDescription	Incanta manopole potenti.
Item/&CraftingManualRecipeEnchantHandwrapsOfForceTitle	Incanta manopole potenti
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingDescription	Incanta le mani di tirare.
Item/&CraftingManualRecipeEnchantHandwrapsOfPullingTitle	Incanta le mani di tirare
Item/&CraftingManualRecipePrimingCEHalberdDescription	Primo Alabarda.
Item/&CraftingManualRecipePrimingCEHalberdTitle	Primo Alabarda
Item/&CraftingManualRecipePrimingCEHandXbowDescription	Prime balestra a mano.
Item/&CraftingManualRecipePrimingCEHandXbowTitle	Prime balestra a mano
Item/&CraftingManualRecipePrimingCELongMaceDescription	Mazza Lunga Prime.
Item/&CraftingManualRecipePrimingCELongMaceTitle	Mazza Lunga Prime
Item/&CraftingManualRecipePrimingCEPikeDescription	Primo Luccio.
Item/&CraftingManualRecipePrimingCEPikeTitle	Primo Luccio
Item/&Handwraps+1Title	Fasce +1
Item/&Handwraps+1UnidentifiedTitle	Fasce di buona qualità
Item/&Handwraps+2Title	Fasce +2
Item/&Handwraps+2UnidentifiedTitle	Fasce magnifiche
Item/&HandwrapsOfForceTitle	Impacchi energici
Item/&HandwrapsOfForceUnidentifiedTitle	Fasce magnifiche
Item/&HandwrapsOfPullingTitle	Impacchi di trazione
Item/&HandwrapsOfPullingUnidentifiedTitle	Fasce magnifiche
Power/&PowerFunctionHandwrapsOfPullingDescription	Come azione bonus, puoi avvicinare a te una creatura entro 15 piedi.
Power/&PowerFunctionHandwrapsOfPullingTitle	Avvolgere
Tooltip/&TagPolearmWeaponTitle	Polearm
